fecha,days,ccaa,casos
2020-03-08,1,Andalucía,0
2020-03-08,1,Aragón,3
2020-03-08,1,Asturias,0
2020-03-08,1,Baleares,0
2020-03-08,1,Canarias,0
2020-03-08,1,Cantabria,0
2020-03-08,1,Castilla-La Mancha,0
2020-03-08,1,Castilla y León,0
2020-03-08,1,Cataluña,2
2020-03-08,1,Valencia,1
2020-03-08,1,Extremadura,0
2020-03-08,1,Galicia,0
2020-03-08,1,Madrid,16
2020-03-08,1,Murcia,0
2020-03-08,1,Navarra,0
2020-03-08,1,País Vasco,6
2020-03-08,1,La Rioja,0
2020-03-09,2,Andalucía,0
2020-03-09,2,Aragón,4
2020-03-09,2,Asturias,0
2020-03-09,2,Baleares,0
2020-03-09,2,Canarias,0
2020-03-09,2,Cantabria,0
2020-03-09,2,Castilla-La Mancha,0
2020-03-09,2,Castilla y León,0
2020-03-09,2,Cataluña,2
2020-03-09,2,Valencia,1
2020-03-09,2,Extremadura,0
2020-03-09,2,Galicia,0
2020-03-09,2,Madrid,21
2020-03-09,2,Murcia,0
2020-03-09,2,Navarra,0
2020-03-09,2,País Vasco,6
2020-03-09,2,La Rioja,1
2020-03-10,3,Andalucía,0
2020-03-10,3,Aragón,4
2020-03-10,3,Asturias,0
2020-03-10,3,Baleares,0
2020-03-10,3,Canarias,0
2020-03-10,3,Cantabria,0
2020-03-10,3,Castilla-La Mancha,0
2020-03-10,3,Castilla y León,0
2020-03-10,3,Cataluña,3
2020-03-10,3,Valencia,1
2020-03-10,3,Extremadura,1
2020-03-10,3,Galicia,0
2020-03-10,3,Madrid,31
2020-03-10,3,Murcia,0
2020-03-10,3,Navarra,0
2020-03-10,3,País Vasco,6
2020-03-10,3,La Rioja,2
2020-03-11,4,Andalucía,0
2020-03-11,4,Aragón,6
2020-03-11,4,Asturias,1
2020-03-11,4,Baleares,1
2020-03-11,4,Canarias,0
2020-03-11,4,Cantabria,0
2020-03-11,4,Castilla-La Mancha,1
2020-03-11,4,Castilla y León,0
2020-03-11,4,Cataluña,6
2020-03-11,4,Valencia,1
2020-03-11,4,Extremadura,1
2020-03-11,4,Galicia,0
2020-03-11,4,Madrid,56
2020-03-11,4,Murcia,0
2020-03-11,4,Navarra,0
2020-03-11,4,País Vasco,11
2020-03-11,4,La Rioja,2
2020-03-12,5,Andalucía,0
2020-03-12,5,Aragón,7
2020-03-12,5,Asturias,1
2020-03-12,5,Baleares,1
2020-03-12,5,Canarias,0
2020-03-12,5,Cantabria,0
2020-03-12,5,Castilla-La Mancha,5
2020-03-12,5,Castilla y León,0
2020-03-12,5,Cataluña,9
2020-03-12,5,Valencia,1
2020-03-12,5,Extremadura,1
2020-03-12,5,Galicia,0
2020-03-12,5,Madrid,81
2020-03-12,5,Murcia,0
2020-03-12,5,Navarra,0
2020-03-12,5,País Vasco,14
2020-03-12,5,La Rioja,3
2020-03-13,6,Andalucía,2
2020-03-13,6,Aragón,7
2020-03-13,6,Asturias,1
2020-03-13,6,Baleares,1
2020-03-13,6,Canarias,1
2020-03-13,6,Cantabria,0
2020-03-13,6,Castilla-La Mancha,6
2020-03-13,6,Castilla y León,1
2020-03-13,6,Cataluña,13
2020-03-13,6,Valencia,4
2020-03-13,6,Extremadura,2
2020-03-13,6,Galicia,0
2020-03-13,6,Madrid,86
2020-03-13,6,Murcia,0
2020-03-13,6,Navarra,0
2020-03-13,6,País Vasco,14
2020-03-13,6,La Rioja,3
2020-03-14,7,Andalucía,6
2020-03-14,7,Aragón,7
2020-03-14,7,Asturias,1
2020-03-14,7,Baleares,1
2020-03-14,7,Canarias,1
2020-03-14,7,Cantabria,0
2020-03-14,7,Castilla-La Mancha,10
2020-03-14,7,Castilla y León,3
2020-03-14,7,Cataluña,15
2020-03-14,7,Valencia,5
2020-03-14,7,Extremadura,2
2020-03-14,7,Galicia,2
2020-03-14,7,Madrid,213
2020-03-14,7,Murcia,0
2020-03-14,7,Navarra,0
2020-03-14,7,País Vasco,23
2020-03-14,7,La Rioja,3
2020-03-15,8,Andalucía,7
2020-03-15,8,Aragón,11
2020-03-15,8,Asturias,1
2020-03-15,8,Baleares,1
2020-03-15,8,Canarias,1
2020-03-15,8,Cantabria,0
2020-03-15,8,Castilla-La Mancha,17
2020-03-15,8,Castilla y León,6
2020-03-15,8,Cataluña,20
2020-03-15,8,Valencia,5
2020-03-15,8,Extremadura,2
2020-03-15,8,Galicia,2
2020-03-15,8,Madrid,213
2020-03-15,8,Murcia,0
2020-03-15,8,Navarra,1
2020-03-15,8,País Vasco,23
2020-03-15,8,La Rioja,4
2020-03-16,9,Andalucía,11
2020-03-16,9,Aragón,12
2020-03-16,9,Asturias,1
2020-03-16,9,Baleares,1
2020-03-16,9,Canarias,2
2020-03-16,9,Cantabria,0
2020-03-16,9,Castilla-La Mancha,17
2020-03-16,9,Castilla y León,12
2020-03-16,9,Cataluña,23
2020-03-16,9,Valencia,13
2020-03-16,9,Extremadura,3
2020-03-16,9,Galicia,3
2020-03-16,9,Madrid,355
2020-03-16,9,Murcia,0
2020-03-16,9,Navarra,2
2020-03-16,9,País Vasco,36
2020-03-16,9,La Rioja,5
2020-03-17,10,Andalucía,19
2020-03-17,10,Aragón,13
2020-03-17,10,Asturias,1
2020-03-17,10,Baleares,1
2020-03-17,10,Canarias,3
2020-03-17,10,Cantabria,1
2020-03-17,10,Castilla-La Mancha,28
2020-03-17,10,Castilla y León,22
2020-03-17,10,Cataluña,33
2020-03-17,10,Valencia,22
2020-03-17,10,Extremadura,6
2020-03-17,10,Galicia,3
2020-03-17,10,Madrid,390
2020-03-17,10,Murcia,0
2020-03-17,10,Navarra,3
2020-03-17,10,País Vasco,40
2020-03-17,10,La Rioja,5
2020-03-18,11,Andalucía,23
2020-03-18,11,Aragón,15
2020-03-18,11,Asturias,1
2020-03-18,11,Baleares,2
2020-03-18,11,Canarias,3
2020-03-18,11,Cantabria,1
2020-03-18,11,Castilla-La Mancha,42
2020-03-18,11,Castilla y León,29
2020-03-18,11,Cataluña,53
2020-03-18,11,Valencia,24
2020-03-18,11,Extremadura,8
2020-03-18,11,Galicia,4
2020-03-18,11,Madrid,498
2020-03-18,11,Murcia,0
2020-03-18,11,Navarra,4
2020-03-18,11,País Vasco,53
2020-03-18,11,La Rioja,5
2020-03-19,12,Andalucía,30
2020-03-19,12,Aragón,17
2020-03-19,12,Asturias,2
2020-03-19,12,Baleares,2
2020-03-19,12,Canarias,4
2020-03-19,12,Cantabria,1
2020-03-19,12,Castilla-La Mancha,42
2020-03-19,12,Castilla y León,43
2020-03-19,12,Cataluña,93
2020-03-19,12,Valencia,33
2020-03-19,12,Extremadura,10
2020-03-19,12,Galicia,5
2020-03-19,12,Madrid,628
2020-03-19,12,Murcia,0
2020-03-19,12,Navarra,5
2020-03-19,12,País Vasco,71
2020-03-19,12,La Rioja,7
2020-03-20,13,Andalucía,40
2020-03-20,13,Aragón,22
2020-03-20,13,Asturias,5
2020-03-20,13,Baleares,4
2020-03-20,13,Canarias,7
2020-03-20,13,Cantabria,2
2020-03-20,13,Castilla-La Mancha,84
2020-03-20,13,Castilla y León,55
2020-03-20,13,Cataluña,122
2020-03-20,13,Valencia,50
2020-03-20,13,Extremadura,12
2020-03-20,13,Galicia,9
2020-03-20,13,Madrid,804
2020-03-20,13,Murcia,1
2020-03-20,13,Navarra,9
2020-03-20,13,País Vasco,85
2020-03-20,13,La Rioja,15
2020-03-21,14,Andalucía,47
2020-03-21,14,Aragón,24
2020-03-21,14,Asturias,8
2020-03-21,14,Baleares,4
2020-03-21,14,Canarias,9
2020-03-21,14,Cantabria,5
2020-03-21,14,Castilla-La Mancha,112
2020-03-21,14,Castilla y León,74
2020-03-21,14,Cataluña,143
2020-03-21,14,Valencia,69
2020-03-21,14,Extremadura,14
2020-03-21,14,Galicia,12
2020-03-21,14,Madrid,1021
2020-03-21,14,Murcia,1
2020-03-21,14,Navarra,14
2020-03-21,14,País Vasco,97
2020-03-21,14,La Rioja,18
2020-03-22,15,Andalucía,58
2020-03-22,15,Aragón,32
2020-03-22,15,Asturias,12
2020-03-22,15,Baleares,10
2020-03-22,15,Canarias,11
2020-03-22,15,Cantabria,6
2020-03-22,15,Castilla-La Mancha,145
2020-03-22,15,Castilla y León,102
2020-03-22,15,Cataluña,199
2020-03-22,15,Valencia,94
2020-03-22,15,Extremadura,18
2020-03-22,15,Galicia,18
2020-03-22,15,Madrid,1263
2020-03-22,15,Murcia,2
2020-03-22,15,Navarra,24
2020-03-22,15,País Vasco,120
2020-03-22,15,La Rioja,22
2020-03-23,16,Andalucía,87
2020-03-23,16,Aragón,37
2020-03-23,16,Asturias,22
2020-03-23,16,Baleares,10
2020-03-23,16,Canarias,16
2020-03-23,16,Cantabria,9
2020-03-23,16,Castilla-La Mancha,216
2020-03-23,16,Castilla y León,124
2020-03-23,16,Cataluña,293
2020-03-23,16,Valencia,115
2020-03-23,16,Extremadura,26
2020-03-23,16,Galicia,20
2020-03-23,16,Madrid,1535
2020-03-23,16,Murcia,3
2020-03-23,16,Navarra,31
2020-03-23,16,País Vasco,133
2020-03-23,16,La Rioja,30
2020-03-24,17,Andalucía,113
2020-03-24,17,Aragón,40
2020-03-24,17,Asturias,25
2020-03-24,17,Baleares,13
2020-03-24,17,Canarias,21
2020-03-24,17,Cantabria,14
2020-03-24,17,Castilla-La Mancha,263
2020-03-24,17,Castilla y León,165
2020-03-24,17,Cataluña,385
2020-03-24,17,Valencia,143
2020-03-24,17,Extremadura,39
2020-03-24,17,Galicia,27
2020-03-24,17,Madrid,1825
2020-03-24,17,Murcia,5
2020-03-24,17,Navarra,33
2020-03-24,17,País Vasco,155
2020-03-24,17,La Rioja,37
2020-03-25,18,Andalucía,134
2020-03-25,18,Aragón,48
2020-03-25,18,Asturias,27
2020-03-25,18,Baleares,17
2020-03-25,18,Canarias,24
2020-03-25,18,Cantabria,17
2020-03-25,18,Castilla-La Mancha,316
2020-03-25,18,Castilla y León,206
2020-03-25,18,Cataluña,501
2020-03-25,18,Valencia,167
2020-03-25,18,Extremadura,58
2020-03-25,18,Galicia,32
2020-03-25,18,Madrid,2090
2020-03-25,18,Murcia,8
2020-03-25,18,Navarra,49
2020-03-25,18,País Vasco,180
2020-03-25,18,La Rioja,43
2020-03-26,19,Andalucía,144
2020-03-26,19,Aragón,58
2020-03-26,19,Asturias,29
2020-03-26,19,Baleares,22
2020-03-26,19,Canarias,27
2020-03-26,19,Cantabria,21
2020-03-26,19,Castilla-La Mancha,367
2020-03-26,19,Castilla y León,252
2020-03-26,19,Cataluña,685
2020-03-26,19,Valencia,198
2020-03-26,19,Extremadura,69
2020-03-26,19,Galicia,43
2020-03-26,19,Madrid,2412
2020-03-26,19,Murcia,15
2020-03-26,19,Navarra,58
2020-03-26,19,País Vasco,207
2020-03-26,19,La Rioja,55
2020-03-27,20,Andalucía,175
2020-03-27,20,Aragón,93
2020-03-27,20,Asturias,33
2020-03-27,20,Baleares,26
2020-03-27,20,Canarias,36
2020-03-27,20,Cantabria,22
2020-03-27,20,Castilla-La Mancha,448
2020-03-27,20,Castilla y León,321
2020-03-27,20,Cataluña,827
2020-03-27,20,Valencia,234
2020-03-27,20,Extremadura,88
2020-03-27,20,Galicia,47
2020-03-27,20,Madrid,2757
2020-03-27,20,Murcia,17
2020-03-27,20,Navarra,70
2020-03-27,20,País Vasco,241
2020-03-27,20,La Rioja,65
2020-03-28,21,Andalucía,207
2020-03-28,21,Aragón,104
2020-03-28,21,Asturias,41
2020-03-28,21,Baleares,29
2020-03-28,21,Canarias,39
2020-03-28,21,Cantabria,26
2020-03-28,21,Castilla-La Mancha,539
2020-03-28,21,Castilla y León,380
2020-03-28,21,Cataluña,904
2020-03-28,21,Valencia,267
2020-03-28,21,Extremadura,100
2020-03-28,21,Galicia,60
2020-03-28,21,Madrid,3082
2020-03-28,21,Murcia,20
2020-03-28,21,Navarra,84
2020-03-28,21,País Vasco,265
2020-03-28,21,La Rioja,68
2020-03-29,22,Andalucía,236
2020-03-29,22,Aragón,106
2020-03-29,22,Asturias,49
2020-03-29,22,Baleares,37
2020-03-29,22,Canarias,40
2020-03-29,22,Cantabria,27
2020-03-29,22,Castilla-La Mancha,622
2020-03-29,22,Castilla y León,442
2020-03-29,22,Cataluña,983
2020-03-29,22,Valencia,310
2020-03-29,22,Extremadura,106
2020-03-29,22,Galicia,66
2020-03-29,22,Madrid,3392
2020-03-29,22,Murcia,25
2020-03-29,22,Navarra,102
2020-03-29,22,País Vasco,297
2020-03-29,22,La Rioja,71
2020-03-30,23,Andalucía,248
2020-03-30,23,Aragón,138
2020-03-30,23,Asturias,55
2020-03-30,23,Baleares,42
2020-03-30,23,Canarias,55
2020-03-30,23,Cantabria,37
2020-03-30,23,Castilla-La Mancha,708
2020-03-30,23,Castilla y León,516
2020-03-30,23,Cataluña,1216
2020-03-30,23,Valencia,339
2020-03-30,23,Extremadura,133
2020-03-30,23,Galicia,84
2020-03-30,23,Madrid,3603
2020-03-30,23,Murcia,34
2020-03-30,23,Navarra,113
2020-03-30,23,País Vasco,325
2020-03-30,23,La Rioja,85
2020-03-31,24,Andalucía,308
2020-03-31,24,Aragón,169
2020-03-31,24,Asturias,63
2020-03-31,24,Baleares,46
2020-03-31,24,Canarias,62
2020-03-31,24,Cantabria,54
2020-03-31,24,Castilla-La Mancha,774
2020-03-31,24,Castilla y León,585
2020-03-31,24,Cataluña,1458
2020-03-31,24,Valencia,395
2020-03-31,24,Extremadura,152
2020-03-31,24,Galicia,103
2020-03-31,24,Madrid,3865
2020-03-31,24,Murcia,37
2020-03-31,24,Navarra,130
2020-03-31,24,País Vasco,369
2020-03-31,24,La Rioja,90
2020-04-01,25,Andalucía,343
2020-04-01,25,Aragón,200
2020-04-01,25,Asturias,69
2020-04-01,25,Baleares,58
2020-04-01,25,Canarias,68
2020-04-01,25,Cantabria,60
2020-04-01,25,Castilla-La Mancha,854
2020-04-01,25,Castilla y León,641
2020-04-01,25,Cataluña,1629
2020-04-01,25,Valencia,443
2020-04-01,25,Extremadura,181
2020-04-01,25,Galicia,120
2020-04-01,25,Madrid,4175
2020-04-01,25,Murcia,42
2020-04-01,25,Navarra,141
2020-04-01,25,País Vasco,412
2020-04-01,25,La Rioja,101
2020-04-02,26,Andalucía,376
2020-04-02,26,Aragón,224
2020-04-02,26,Asturias,70
2020-04-02,26,Baleares,69
2020-04-02,26,Canarias,73
2020-04-02,26,Cantabria,64
